"DateTime","Val"
2017-06-15 09:00:00,834
2017-06-15 10:00:00,916
2017-06-15 11:00:00,939
2017-06-15 12:00:00,881
2017-06-15 13:00:00,857
2017-06-15 14:00:00,863
2017-06-15 15:00:00,836
2017-06-15 16:00:00,872
2017-06-15 17:00:00,851
2017-06-15 18:00:00,815
2017-06-15 19:00:00,804
2017-06-15 20:00:00,771
2017-06-15 21:00:00,758
2017-06-15 22:00:00,739
2017-06-15 23:00:00,725
2017-06-16 00:00:00,692
2017-06-16 01:00:00,716
2017-06-16 02:00:00,761
2017-06-16 03:00:00,693
2017-06-16 04:00:00,694
2017-06-16 05:00:00,677
2017-06-16 06:00:00,681
2017-06-16 07:00:00,771
2017-06-16 08:00:00,825
2017-06-16 09:00:00,806
2017-06-16 10:00:00,846
2017-06-16 11:00:00,920
2017-06-16 12:00:00,902
2017-06-16 13:00:00,918
2017-06-16 14:00:00,907
2017-06-16 15:00:00,879
2017-06-16 16:00:00,897
2017-06-16 17:00:00,631
2017-06-16 18:00:00,565
2017-06-16 19:00:00,587
2017-06-16 20:00:00,714
2017-06-16 21:00:00,730
2017-06-16 22:00:00,686
2017-06-16 23:00:00,729
2017-06-17 00:00:00,675
2017-06-17 01:00:00,683
2017-06-17 02:00:00,687
2017-06-17 03:00:00,641
2017-06-17 04:00:00,597
2017-06-17 05:00:00,484
2017-06-17 06:00:00,483
2017-06-17 07:00:00,477
2017-06-17 08:00:00,419
2017-06-17 09:00:00,432
2017-06-17 10:00:00,462
2017-06-17 11:00:00,462
2017-06-17 12:00:00,440
2017-06-17 13:00:00,469
2017-06-17 14:00:00,465
2017-06-17 15:00:00,436
2017-06-17 16:00:00,450
2017-06-17 17:00:00,435
2017-06-17 18:00:00,422
2017-06-17 19:00:00,426
2017-06-17 20:00:00,406
2017-06-17 21:00:00,375
2017-06-17 22:00:00,364
2017-06-17 23:00:00,380
2017-06-18 00:00:00,369
2017-06-18 01:00:00,340
2017-06-18 02:00:00,343
2017-06-18 03:00:00,345
2017-06-18 04:00:00,337
2017-06-18 05:00:00,321
2017-06-18 06:00:00,318
2017-06-18 07:00:00,263
2017-06-18 08:00:00,219
2017-06-18 09:00:00,163
2017-06-18 10:00:00,164
2017-06-18 11:00:00,162
2017-06-18 12:00:00,176
2017-06-18 13:00:00,163
2017-06-18 14:00:00,169
2017-06-18 15:00:00,168
2017-06-18 16:00:00,167
2017-06-18 17:00:00,162
2017-06-18 18:00:00,161
2017-06-18 19:00:00,159
2017-06-18 20:00:00,162
2017-06-18 21:00:00,149
2017-06-18 22:00:00,154
2017-06-18 23:00:00,151
2017-06-19 00:00:00,159
2017-06-19 01:00:00,150
2017-06-19 02:00:00,154
2017-06-19 03:00:00,149
2017-06-19 04:00:00,158
2017-06-19 05:00:00,167
2017-06-19 06:00:00,228
2017-06-19 07:00:00,532
2017-06-19 08:00:00,786
2017-06-19 09:00:00,763
2017-06-19 10:00:00,796
2017-06-19 11:00:00,874
2017-06-19 12:00:00,850
2017-06-19 13:00:00,841
2017-06-19 14:00:00,822
2017-06-19 15:00:00,832
2017-06-19 16:00:00,864
2017-06-19 17:00:00,817
2017-06-19 18:00:00,739
2017-06-19 19:00:00,724
2017-06-19 20:00:00,729
2017-06-19 21:00:00,718
2017-06-19 22:00:00,705
2017-06-19 23:00:00,787
2017-06-20 00:00:00,711
2017-06-20 01:00:00,669
2017-06-20 02:00:00,721
2017-06-20 03:00:00,699
2017-06-20 04:00:00,665
2017-06-20 05:00:00,620
2017-06-20 06:00:00,686
2017-06-20 07:00:00,784
2017-06-20 08:00:00,772
2017-06-20 09:00:00,853
2017-06-20 10:00:00,879
2017-06-20 11:00:00,903
2017-06-20 12:00:00,897
2017-06-20 13:00:00,846
2017-06-20 14:00:00,839
2017-06-20 15:00:00,843
2017-06-20 16:00:00,861
2017-06-20 17:00:00,770
2017-06-20 18:00:00,728
2017-06-20 19:00:00,717
2017-06-20 20:00:00,722
2017-06-20 21:00:00,708
2017-06-20 22:00:00,913
2017-06-20 23:00:00,503
2017-06-21 00:00:00,674
2017-06-21 01:00:00,668
2017-06-21 02:00:00,660
2017-06-21 03:00:00,623
2017-06-21 04:00:00,640
2017-06-21 05:00:00,604
2017-06-21 06:00:00,648
2017-06-21 07:00:00,751
2017-06-21 08:00:00,799
2017-06-21 09:00:00,775
2017-06-21 10:00:00,828
2017-06-21 11:00:00,872
2017-06-21 12:00:00,864
2017-06-21 13:00:00,830
2017-06-21 14:00:00,830
2017-06-21 15:00:00,798
2017-06-21 16:00:00,812
2017-06-21 17:00:00,672
2017-06-21 18:00:00,625
2017-06-21 19:00:00,618
2017-06-21 20:00:00,656
2017-06-21 21:00:00,647
2017-06-21 22:00:00,698
2017-06-21 23:00:00,734
2017-06-22 00:00:00,691
2017-06-22 01:00:00,635
2017-06-22 02:00:00,679
2017-06-22 03:00:00,691
2017-06-22 04:00:00,642
2017-06-22 05:00:00,528
2017-06-22 06:00:00,567
2017-06-22 07:00:00,680
2017-06-22 08:00:00,796
2017-06-22 09:00:00,825
2017-06-22 10:00:00,854
2017-06-22 11:00:00,902
2017-06-22 12:00:00,911
2017-06-22 13:00:00,866
2017-06-22 14:00:00,861
2017-06-22 15:00:00,852
2017-06-22 16:00:00,854
2017-06-22 17:00:00,719
2017-06-22 18:00:00,675
2017-06-22 19:00:00,646
2017-06-22 20:00:00,724
2017-06-22 21:00:00,756
2017-06-22 22:00:00,726
2017-06-22 23:00:00,729
2017-06-23 00:00:00,678
